Country;Country Short;1960;1970;1980;1990;2000;2010;2020
Canada;CAN;4,05638E+14;8,81923E+14;2,74777E+14;5,96076E+14;7,44773E+14;1617343367486.26;1655684730000.19
China;CHN;5,97162E+14;9,26026E+14;1,91149E+11;3,60858E+14;1211331651866.09;6087191746679.49;1,46877E+13
France;FRA;6,22255E+14;1,48456E+14;7,01288E+14;1269179616913.63;1365639660792.16;2645187882116.67;2647418691598.45
Germany;DEU;8,4311E+14;2,15838E+14;9,50291E+14;1771671206875.68;1947981991011.77;3399667820000.01;3887727161914.41
Greece;GRC;4,33519E+14;1,31399E+14;5,68297E+14;9,78911E+14;1,30458E+14;2,97125E+14;1,8848E+14
India;IND;3,70299E+14;6,24225E+14;1,86329E+14;3,20979E+14;4,68396E+14;1675615519484.96;2674851578586.86
Japan;JPN;4,74192E+14;2,17224E+14;1129377244854.04;3185904656663.85;4968359075956.59;5759071769013.11;5055587093501.59
Switzerland;CHE;1,04122E+14;2,49981E+14;1,22558E+14;2,65764E+14;2,79216E+14;598851028906.58;7,41999E+14
Turkiye;TUR;7,56667E+14;1,78636E+14;6,88237E+14;1,50656E+14;2,74295E+14;776967266305.53;7,20338E+14
United Kingdom;GBR;7,3234E+14;130671946244.3;5,64948E+14;1093169389204.55;1665534876683.31;2485482596184.71;2697806592293.86
United States;USA;5,41989E+14;1,0733E+12;2,85731E+12;5,96314E+12;1,0251E+13;1,5049E+13;2,1323E+13
